date,gain
2007/6/29,43.59297178
2007/7/2,65.82311716
2007/7/3,45.07407911
2007/7/5,-17.29535795
2007/7/6,36.87567748
2007/7/9,35.97556864
2007/7/10,-55.45902299
2007/7/11,13.68861315
2007/7/12,112.258823
2007/7/13,61.83915681
2007/7/17,6.035859126
2007/7/18,-76.8270232
2007/7/19,74.57402471
2007/7/20,-58.90444503
2007/7/23,32.26503877
2007/7/24,-117.8180826
2007/7/25,-47.24501821
2007/7/26,-217.973959
2007/7/27,-151.0566783
2007/7/30,22.87946718
2007/7/31,47.12672981
2007/8/1,-63.47098638
2007/8/2,69.73312924
2007/8/3,-108.8101258
2007/8/6,51.6360432
2007/8/7,57.36121061
2007/8/8,131.0050055
2007/8/9,-180.1047501
2007/8/10,-201.3892164
2007/8/13,88.34004066
2007/8/14,-122.9374879
2007/8/15,-127.9211213
2007/8/16,-166.799711
2007/8/17,110.8369992
2007/8/20,65.24472742
2007/8/21,25.41299872
2007/8/22,118.910291
2007/8/23,58.0879079
2007/8/24,70.89957586
2007/8/28,-152.9815554
2007/8/29,70.66134788
2007/8/30,42.87609078
2007/8/31,144.0417298
2007/9/4,27.5370544
2007/9/5,-112.4227559
2007/9/6,61.82029413
2007/9/7,-133.9162424
2007/9/10,-65.94946242
2007/9/11,149.5501741
2007/9/12,5.137401181
2007/9/13,54.56320214
2007/9/14,-13.67830444
2007/9/18,12.25737904
2007/9/19,214.9094175
2007/9/20,29.03667395
2007/9/21,14.00615884
2007/9/25,-25.30101082
2007/9/26,34.12889443
2007/9/27,106.2402986
2007/9/28,13.67249411
2007/10/1,89.26167653
2007/10/2,0.431355553
2007/10/3,-8.086511395
2007/10/4,5.272392329
2007/10/5,48.73053884
2007/10/9,30.50875504
2007/10/10,0.59982681
2007/10/11,49.12632751
2007/10/12,-0.709091786
2007/10/15,-58.06620083
2007/10/16,-70.03167736
2007/10/17,18.91752283
2007/10/18,13.45111876
2007/10/19,-172.2119457
2007/10/22,-95.03802566
2007/10/23,94.24827111
2007/10/24,-24.87705939
2007/10/25,55.69907411
2007/10/26,122.8295611
2007/10/29,73.10940263
2007/10/30,-44.71970893
2007/10/31,94.43648863
2007/11/1,-157.5969715
2007/11/2,-55.26732601
2007/11/5,-81.740575
2007/11/6,62.10895658
2007/11/7,-121.0319882
2007/11/8,-45.30601772
2007/11/9,-128.2743893
2007/11/12,-86.96428469
2007/11/13,109.8274244
2007/11/14,47.27509283
2007/11/15,-117.9952508
2007/11/16,-43.33057731
2007/11/19,-160.7777575
